month,commits,total_files_changed,average_files_changed,additions,deletions
2010-04,169,394,2.33,10741,2681
2010-05,96,228,2.38,3521,1292
2010-06,68,101,1.49,1419,404
2010-07,168,330,1.96,5724,2579
2010-08,21,43,2.05,279,92
2010-09,3,3,1.0,33,1
2010-10,18,40,2.22,239,74
2010-11,6,11,1.83,86,25
2010-12,7,9,1.29,60,8
2011-01,12,19,1.58,188,11
2011-02,7,10,1.43,67,30
2011-03,32,51,1.59,803,217
2011-04,10,12,1.2,49,24
2011-05,30,54,1.8,1076,546
2011-06,105,163,1.55,2556,1119
2011-07,61,72,1.18,631,144
2011-08,100,210,2.1,4852,3098
2011-09,64,111,1.73,1313,449
2011-10,21,23,1.1,100,23
2011-11,16,20,1.25,239,30
2011-12,5,7,1.4,100,88
2012-01,37,51,1.38,662,195
2012-02,20,21,1.05,197,107
2012-03,57,61,1.07,840,451
2012-04,62,106,1.71,1222,417
2012-05,8,16,2.0,117,35
2012-06,23,20,0.87,263,82
2012-07,23,18,0.78,36,23
2012-08,19,22,1.16,281,159
2012-09,8,11,1.38,25,29
2012-10,48,73,1.52,1091,285
2012-11,11,8,0.73,17,9
2012-12,16,25,1.56,123,65
2013-01,18,22,1.22,342,68
2013-02,8,11,1.38,59,28
2013-03,16,12,0.75,85,10
2013-04,5,5,1.0,10,10
2013-05,109,220,2.02,1302,983
2013-06,74,128,1.73,1048,207
2013-07,25,19,0.76,164,33
2013-08,19,18,0.95,177,14
2013-09,19,25,1.32,249,139
2013-10,20,19,0.95,113,32
2013-11,3,7,2.33,33,32
2013-12,5,7,1.4,61,26
2014-01,18,61,3.39,145,56
2014-02,55,43,0.78,205,85
2014-03,39,20,0.51,93,75
2014-04,57,88,1.54,1276,517
2014-05,36,32,0.89,570,289
2014-06,15,8,0.53,48,29
2014-07,28,48,1.71,193,140
2014-08,37,151,4.08,703,1168
2014-09,66,152,2.3,4969,4887
2014-10,38,49,1.29,215,72
2014-11,38,157,4.13,464,456
2014-12,38,40,1.05,437,280
2015-01,22,66,3.0,311,286
2015-02,41,49,1.2,537,249
2015-03,51,51,1.0,369,149
2015-04,30,40,1.33,511,364
2015-05,14,10,0.71,24,12
2015-06,32,37,1.16,341,235
2015-07,18,10,0.56,35,24
2015-08,3,3,1.0,19,10
2015-09,4,3,0.75,28,23
2015-10,15,16,1.07,237,33
2015-11,20,11,0.55,78,28
2015-12,16,15,0.94,146,131
2016-01,12,8,0.67,47,30
2016-02,11,8,0.73,17,21
2016-03,15,11,0.73,46,91
2016-04,19,54,2.84,184,347
2016-05,40,72,1.8,644,391
2016-06,88,116,1.32,1123,611
2016-07,12,40,3.33,382,376
2016-08,20,47,2.35,225,108
2016-09,29,39,1.34,283,109
2016-10,11,16,1.45,99,15
2016-11,15,23,1.53,57,150
2016-12,27,43,1.59,165,92
2017-01,14,19,1.36,113,33
2017-02,11,36,3.27,173,108
2017-03,31,48,1.55,207,87
2017-04,47,63,1.34,899,487
2017-05,166,181,1.09,4166,3145
2017-06,82,105,1.28,1243,1598
2017-07,17,51,3.0,1021,744
