repository,file_path,language,extension,loc,size_bytes
flask,.devcontainer\on-create-command.sh,Shell,.sh,7,172
flask,docs\conf.py,Python,.py,84,3487
flask,examples\celery\make_celery.py,Python,.py,3,106
flask,examples\celery\src\task_app\tasks.py,Python,.py,15,507
flask,examples\celery\src\task_app\views.py,Python,.py,28,992
flask,examples\celery\src\task_app\__init__.py,Python,.py,31,1063
flask,examples\celery\src\task_app\templates\index.html,HTML,.html,95,3017
flask,examples\javascript\js_example\views.py,Python,.py,13,447
flask,examples\javascript\js_example\__init__.py,Python,.py,3,96
flask,examples\javascript\js_example\templates\base.html,HTML,.html,33,1211
flask,examples\javascript\js_example\templates\fetch.html,HTML,.html,28,885
flask,examples\javascript\js_example\templates\jquery.html,HTML,.html,23,693
flask,examples\javascript\js_example\templates\xhr.html,HTML,.html,25,962
flask,examples\javascript\tests\conftest.py,Python,.py,10,231
flask,examples\javascript\tests\test_js_example.py,Python,.py,22,754
flask,examples\tutorial\flaskr\auth.py,Python,.py,90,3412
flask,examples\tutorial\flaskr\blog.py,Python,.py,100,3430
flask,examples\tutorial\flaskr\db.py,Python,.py,40,1373
flask,examples\tutorial\flaskr\__init__.py,Python,.py,36,1454
flask,examples\tutorial\flaskr\static\style.css,CSS,.css,109,1830
flask,examples\tutorial\flaskr\templates\base.html,HTML,.html,24,776
flask,examples\tutorial\flaskr\templates\auth\login.html,HTML,.html,13,439
flask,examples\tutorial\flaskr\templates\auth\register.html,HTML,.html,13,443
flask,examples\tutorial\flaskr\templates\blog\create.html,HTML,.html,13,462
flask,examples\tutorial\flaskr\templates\blog\index.html,HTML,.html,26,818
flask,examples\tutorial\flaskr\templates\blog\update.html,HTML,.html,17,709
flask,examples\tutorial\tests\conftest.py,Python,.py,44,1516
flask,examples\tutorial\tests\test_auth.py,Python,.py,53,2139
flask,examples\tutorial\tests\test_blog.py,Python,.py,61,2586
flask,examples\tutorial\tests\test_db.py,Python,.py,19,645
flask,examples\tutorial\tests\test_factory.py,Python,.py,8,310
flask,src\flask\app.py,Python,.py,1328,67100
flask,src\flask\blueprints.py,Python,.py,102,4669
flask,src\flask\cli.py,Python,.py,899,37963
flask,src\flask\config.py,Python,.py,286,13586
flask,src\flask\ctx.py,Python,.py,404,18801
flask,src\flask\debughelpers.py,Python,.py,146,6249
flask,src\flask\globals.py,Python,.py,58,2491
flask,src\flask\helpers.py,Python,.py,534,25310
flask,src\flask\logging.py,Python,.py,55,2456
flask,src\flask\sessions.py,Python,.py,310,15354
flask,src\flask\signals.py,Python,.py,14,767
flask,src\flask\templating.py,Python,.py,166,7548
flask,src\flask\testing.py,Python,.py,237,10432
flask,src\flask\typing.py,Python,.py,77,3201
flask,src\flask\views.py,Python,.py,146,7162
flask,src\flask\wrappers.py,Python,.py,194,9663
flask,src\flask\__init__.py,Python,.py,39,2111
flask,src\flask\__main__.py,Python,.py,2,33
flask,src\flask\json\provider.py,Python,.py,163,7859
flask,src\flask\json\tag.py,Python,.py,236,9608
flask,src\flask\json\__init__.py,Python,.py,122,5753
flask,src\flask\sansio\app.py,Python,.py,832,40508
flask,src\flask\sansio\blueprints.py,Python,.py,572,27709
flask,src\flask\sansio\scaffold.py,Python,.py,647,31433
flask,tests\conftest.py,Python,.py,82,2658
flask,tests\test_appctx.py,Python,.py,194,7092
flask,tests\test_async.py,Python,.py,104,3480
flask,tests\test_basic.py,Python,.py,1487,56247
flask,tests\test_blueprints.py,Python,.py,790,32402
flask,tests\test_cli.py,Python,.py,536,21006
flask,tests\test_config.py,Python,.py,193,7998
flask,tests\test_converters.py,Python,.py,29,1135
flask,tests\test_helpers.py,Python,.py,273,11595
flask,tests\test_instance_config.py,Python,.py,80,3428
flask,tests\test_json.py,Python,.py,272,9087
flask,tests\test_json_tag.py,Python,.py,64,2084
flask,tests\test_logging.py,Python,.py,69,2627
flask,tests\test_regression.py,Python,.py,22,742
flask,tests\test_reqctx.py,Python,.py,190,6945
flask,tests\test_request.py,Python,.py,53,1972
flask,tests\test_session_interface.py,Python,.py,21,812
flask,tests\test_signals.py,Python,.py,139,5045
flask,tests\test_subclassing.py,Python,.py,15,501
flask,tests\test_templating.py,Python,.py,387,15935
flask,tests\test_testing.py,Python,.py,286,10961
flask,tests\test_user_error_handler.py,Python,.py,215,8731
flask,tests\test_views.py,Python,.py,187,7329
flask,tests\static\index.html,HTML,.html,1,23
flask,tests\templates\context_template.html,HTML,.html,1,37
flask,tests\templates\escaping_template.html,HTML,.html,6,153
flask,tests\templates\simple_template.html,HTML,.html,1,24
flask,tests\templates\template_filter.html,HTML,.html,1,27
flask,tests\templates\template_test.html,HTML,.html,3,54
flask,tests\templates\_macro.html,HTML,.html,1,56
flask,tests\test_apps\blueprintapp\__init__.py,Python,.py,7,265
flask,tests\test_apps\blueprintapp\apps\__init__.py,Python,.py,0,0
flask,tests\test_apps\blueprintapp\apps\admin\__init__.py,Python,.py,15,386
flask,tests\test_apps\blueprintapp\apps\admin\static\css\test.css,CSS,.css,1,19
flask,tests\test_apps\blueprintapp\apps\admin\templates\admin\index.html,HTML,.html,1,22
flask,tests\test_apps\blueprintapp\apps\frontend\__init__.py,Python,.py,9,341
flask,tests\test_apps\blueprintapp\apps\frontend\templates\frontend\index.html,HTML,.html,1,25
flask,tests\test_apps\cliapp\app.py,Python,.py,2,55
flask,tests\test_apps\cliapp\factory.py,Python,.py,7,182
flask,tests\test_apps\cliapp\importerrorapp.py,Python,.py,3,78
flask,tests\test_apps\cliapp\multiapp.py,Python,.py,3,71
flask,tests\test_apps\cliapp\__init__.py,Python,.py,0,0
flask,tests\test_apps\cliapp\inner1\__init__.py,Python,.py,2,58
flask,tests\test_apps\cliapp\inner1\inner2\flask.py,Python,.py,2,50
flask,tests\test_apps\cliapp\inner1\inner2\__init__.py,Python,.py,0,0
flask,tests\test_apps\helloworld\hello.py,Python,.py,5,112
flask,tests\test_apps\helloworld\wsgi.py,Python,.py,1,37
flask,tests\test_apps\subdomaintestmodule\__init__.py,Python,.py,2,76
flask,tests\type_check\typing_app_decorators.py,Python,.py,18,621
flask,tests\type_check\typing_error_handler.py,Python,.py,21,680
flask,tests\type_check\typing_route.py,Python,.py,71,2644
requests,setup.py,Python,.py,6,188
requests,docs\conf.py,Python,.py,291,12533
requests,docs\_static\custom.css,CSS,.css,8,299
requests,docs\_templates\sidebar.html,HTML,.html,26,1394
requests,docs\_themes\flask_theme_support.py,Python,.py,74,4961
requests,src\requests\adapters.py,Python,.py,634,28740
requests,src\requests\api.py,Python,.py,139,7332
requests,src\requests\auth.py,Python,.py,283,12461
requests,src\requests\certs.py,Python,.py,13,448
requests,src\requests\compat.py,Python,.py,94,2609
requests,src\requests\cookies.py,Python,.py,503,22129
requests,src\requests\exceptions.py,Python,.py,98,4726
requests,src\requests\help.py,Python,.py,110,4200
requests,src\requests\hooks.py,Python,.py,35,1186
requests,src\requests\models.py,Python,.py,988,42646
requests,src\requests\packages.py,Python,.py,19,927
requests,src\requests\sessions.py,Python,.py,758,34992
requests,src\requests\status_codes.py,Python,.py,116,4479
requests,src\requests\structures.py,Python,.py,96,4264
requests,src\requests\utils.py,Python,.py,915,37216
requests,src\requests\_internal_utils.py,Python,.py,40,1593
requests,src\requests\_types.py,Python,.py,148,6229
requests,src\requests\__init__.py,Python,.py,184,5856
requests,src\requests\__version__.py,Python,.py,13,449
requests,tests\compat.py,Python,.py,19,503
requests,tests\conftest.py,Python,.py,48,2001
requests,tests\test_adapters.py,Python,.py,6,322
requests,tests\test_help.py,Python,.py,18,866
requests,tests\test_hooks.py,Python,.py,15,446
requests,tests\test_lowlevel.py,Python,.py,329,15771
requests,tests\test_packages.py,Python,.py,7,242
requests,tests\test_requests.py,Python,.py,2597,111628
requests,tests\test_structures.py,Python,.py,71,2848
requests,tests\test_testserver.py,Python,.py,129,5712
requests,tests\test_utils.py,Python,.py,875,32467
requests,tests\utils.py,Python,.py,15,383
requests,tests\__init__.py,Python,.py,11,483
requests,tests\testserver\server.py,Python,.py,144,5323
requests,tests\testserver\__init__.py,Python,.py,0,0
pytest,bench\bench.py,Python,.py,12,400
pytest,bench\bench_argcomplete.py,Python,.py,16,653
pytest,bench\empty.py,Python,.py,3,103
pytest,bench\manyparam.py,Python,.py,9,221
pytest,bench\skip.py,Python,.py,7,178
pytest,bench\unit_test.py,Python,.py,13,307
pytest,bench\xunit.py,Python,.py,12,250
pytest,doc\en\conf.py,Python,.py,273,11954
pytest,doc\en\conftest.py,Python,.py,2,70
pytest,doc\en\example\conftest.py,Python,.py,2,91
pytest,doc\en\example\multipython.py,Python,.py,55,2028
pytest,doc\en\example\pythoncollection.py,Python,.py,10,251
pytest,doc\en\example\xfail_demo.py,Python,.py,24,526
pytest,doc\en\example\assertion\failure_demo.py,Python,.py,196,6004
pytest,doc\en\example\assertion\test_failures.py,Python,.py,11,480
pytest,doc\en\example\assertion\test_setup_flow_example.py,Python,.py,34,1336
pytest,doc\en\example\assertion\global_testmodule_config\conftest.py,Python,.py,11,383
